"X","USDAcode","GPI_status"
1040,"VIFA","invasive"
1041,"NYPE","invasive"
1042,"SPER","invasive"
1043,"TYDO","invasive"
1044,"IREN","invasive"
1045,"NADO","invasive"
1046,"SPJA","invasive"
1047,"VIOP","invasive"
1048,"PRPE3","invasive"
1049,"SEJA","invasive"
1050,"CAST","invasive"
1051,"CYEN2","invasive"
1052,"HYNY","invasive"
1053,"IPAQ","invasive"
1054,"LYVU","invasive"
1055,"NYCR","invasive"
1056,"PARE3","invasive"
1057,"SAMI7","invasive"
1058,"TAAP","invasive"
1059,"TAGA","invasive"
1060,"MAMU2","invasive"
1061,"PACA6","invasive"
1062,"CYIM2","invasive"
1063,"MECR3","invasive"
1064,"HODU2","invasive"
1065,"AMCR4","invasive"
1066,"AMDE","invasive"
1067,"AMBLB","invasive"
1068,"BOLA2","invasive"
1069,"CENO","invasive"
1070,"DYAM","invasive"
1071,"ROAM","invasive"
1072,"ORUM","invasive"
1073,"ASHA13","invasive"
1074,"AVST","invasive"
1075,"HOSP","invasive"
1076,"MERI3","invasive"
1077,"PALA28","invasive"
1078,"TOLE2","invasive"
1079,"TRSU3","invasive"
1080,"MEMO10","invasive"
1081,"MEMO5","invasive"
1082,"RUCU","invasive"
1083,"CRMA10","invasive"
1084,"SEVI7","invasive"
1085,"CECA2","invasive"
1086,"CHJU","invasive"
1087,"CRVU2","invasive"
1088,"ISTI","invasive"
1089,"COJU2","invasive"
1090,"VANI4","invasive"
1091,"SEOB4","invasive"
1092,"ECPL","invasive"
1093,"ARLE2","invasive"
1094,"BASA3","invasive"
1095,"CHBI3","invasive"
1096,"COCO33","invasive"
1097,"CYDE8","invasive"
1098,"CHHY2","invasive"
1099,"LICA17","invasive"
1100,"PEOL","invasive"
1101,"PESU8","invasive"
1102,"PHAL2","invasive"
1103,"PHAL4","invasive"
1104,"PHCA10","invasive"
1105,"PHEM","invasive"
1106,"PRTA2","invasive"
1107,"SICA6","invasive"
1108,"SYOR2","invasive"
1109,"TECA3","invasive"
1110,"TEOR","invasive"
1111,"TOPU","invasive"
1112,"ZYFA","invasive"
1113,"DRCO2","invasive"
1114,"CRBO4","invasive"
1115,"COBI2","invasive"
1116,"ALPU3","invasive"
1117,"ACUL","invasive"
1118,"ACHI","invasive"
1119,"COFL","invasive"
1120,"ERFO5","invasive"
1121,"EUHE4","invasive"
1122,"GOSE","invasive"
1123,"IPHE2","invasive"
1124,"IPCA2","invasive"
1125,"IPQU","invasive"
1126,"CODI6","invasive"
1127,"MAMI13","invasive"
1128,"MEPR2","invasive"
1129,"HYSU3","invasive"
1130,"OXDE3","invasive"
1131,"PEPE5","invasive"
1132,"POPE3","invasive"
1133,"PHPU7","invasive"
1134,"SCDU3","invasive"
1135,"SEAL4","invasive"
1136,"SOAM","invasive"
1137,"SOAN8","invasive"
1138,"SOPH","invasive"
1139,"SPAL3","invasive"
1140,"SYNO","invasive"
1141,"TRPR5","invasive"
1142,"PSJU3","invasive"
1143,"BIBI7","invasive"
1144,"DAAE","invasive"
1145,"LERU","invasive"
1146,"PIAB","invasive"
1147,"EUGR19","invasive"
1148,"BRCI2","invasive"
1149,"HEDU2","invasive"
1150,"POZO","invasive"
1151,"DICI","invasive"
1152,"DIIS","invasive"
1153,"GEDI","invasive"
1154,"PHUR","invasive"
1155,"CAVU","invasive"
1156,"EUSA","invasive"
1157,"CAJA7","invasive"
1158,"HAGL","invasive"
1159,"ROBR","invasive"
1160,"LISP10","invasive"
1161,"PAIN6","invasive"
1162,"JUEF","invasive"
1163,"ANAR9","invasive"
1164,"HEEU","invasive"
1165,"OPHU","invasive"
1166,"OPPH","invasive"
1167,"AREL4","invasive"
1168,"CESC9","invasive"
1169,"LIRO4","invasive"
1170,"BRST2","invasive"
1171,"SEDI8","invasive"
1172,"CAFI3","invasive"
1173,"CORE11","invasive"
1174,"HOVU","invasive"
1175,"CICA17","invasive"
1176,"PECA13","invasive"
1177,"PASC20","invasive"
1178,"CRPA10","invasive"
1179,"ATLI","invasive"
1180,"IPAL","invasive"
1181,"COPA14","invasive"
1182,"CACU8","invasive"
1183,"ATNU","invasive"
1184,"ACPA8","invasive"
1185,"ACIM5","invasive"
1186,"ACBA","invasive"
1187,"LIJA","invasive"
1188,"TOCI","invasive"
1189,"TITI2","invasive"
1190,"SYCU","invasive"
1191,"SPJU2","invasive"
1192,"SEPE4","invasive"
1193,"SAPE12","invasive"
1194,"PYAN","invasive"
1195,"PRVE","invasive"
1196,"JAMI","invasive"
1197,"PICA15","invasive"
1198,"EUCL","invasive"
1199,"EUSI2","invasive"
1200,"QURO2","invasive"
1201,"ROVI80","invasive"
1202,"SEBI5","invasive"
1203,"ALVI","invasive"
1204,"PEGL2","invasive"
1205,"RARE3","invasive"
1206,"EUCY2","invasive"
1207,"GAMO","invasive"
1208,"GLHE2","invasive"
1209,"LAAM","invasive"
1210,"LAPU2","invasive"
1211,"LECA5","invasive"
1212,"PATR6","invasive"
1213,"CAPU6","invasive"
1214,"CAOV5","invasive"
1215,"TRFO3","invasive"
1216,"AGCA11","invasive"
1217,"SAPR","invasive"
1218,"STAL4","invasive"
1219,"TALA2","invasive"
1220,"FIUL","invasive"
1221,"RHMI13","invasive"
1222,"CHVI4","invasive"
1223,"POMY5","invasive"
1224,"IMBA2","invasive"
1225,"SIAR4","invasive"
1226,"ALMY","invasive"
1227,"ATPA4","invasive"
1228,"MARE6","invasive"
1229,"MEAN","invasive"
1230,"TRPE21","invasive"
1231,"EQAR","invasive"
1232,"FUOF","invasive"
1233,"KISP","invasive"
1234,"ANAR","invasive"
1235,"SEVE3","invasive"
1236,"VIAR","invasive"
1237,"ARMO8","invasive"
1238,"CLTET2","invasive"
1239,"ERPH","invasive"
1240,"VEAN2","invasive"
1241,"BIJA","invasive"
1242,"DIAN","invasive"
1243,"GRSQ","invasive"
1244,"ACPS","invasive"
1245,"GAOF","invasive"
1246,"BASC5","invasive"
1247,"PHSP9","invasive"
1248,"LOXY","invasive"
1249,"BEVU","invasive"
1250,"PACR15","invasive"
1251,"PAFO3","invasive"
1252,"LEPE2","invasive"
1253,"MACO6","invasive"
1254,"PIMI2","invasive"
1255,"PLVI","invasive"
1256,"GYAN","invasive"
1257,"STJA","invasive"
1258,"STMEM","invasive"
1259,"VEHE2","invasive"
1260,"VEPO","invasive"
1261,"VEZI80","invasive"
1262,"WAIN","invasive"
1263,"SYSU5","invasive"
1264,"AMPO","invasive"
1265,"AGGI","invasive"
1266,"KUER","invasive"
1267,"ACAU3","invasive"
1268,"ACAU2","invasive"
1269,"SCAR7","invasive"
1270,"HYCA12","invasive"
1271,"GECA5","invasive"
1272,"GAPU","invasive"
1273,"EUDA5","invasive"
1274,"NERE","invasive"
1275,"POCA23","invasive"
1276,"RARU","invasive"
1277,"REAL","invasive"
1278,"RHSC3","invasive"
1279,"SACA22","invasive"
1280,"STUR","invasive"
1281,"VEBE","invasive"
1282,"WIFL","invasive"
1283,"CASP8","invasive"
1284,"GETI","invasive"
1285,"FRVE","invasive"
1286,"EURO2","invasive"
1287,"ERMI8","invasive"
1288,"CYHA","invasive"
1289,"CUAN4","invasive"
1290,"COAS3","invasive"
1291,"FRCH6","invasive"
1292,"CERU2","invasive"
1293,"CACA74","invasive"
1294,"CABO6","invasive"
1295,"STSC8","invasive"
1296,"BAER","invasive"
1297,"CAFU13","invasive"
1298,"CRCA3","invasive"
1299,"DISA9","invasive"
1300,"SOPI7","invasive"
1301,"CAHA13","invasive"
1302,"ELALL","invasive"
1303,"RUSP","invasive"
1304,"ALTR4","invasive"
1305,"PLSE","invasive"
1306,"BEPU5","invasive"
1307,"CYNA","invasive"
1308,"PUPH2","invasive"
1309,"YUAL","invasive"
1310,"JADI2","invasive"
1311,"RHTO10","invasive"
1312,"ABPR3","invasive"
1313,"ACAU","invasive"
1314,"EROP","invasive"
1315,"WISI","invasive"
1316,"CILA3","invasive"
1317,"DISA17","invasive"
1318,"EPPI","invasive"
1319,"JAMU2","invasive"
1320,"MALA9","invasive"
1321,"MICO16","invasive"
1322,"SYPO","invasive"
1323,"NAGU","invasive"
1324,"POIL","invasive"
1325,"ZIMA","invasive"
1326,"SEIT","invasive"
1327,"RUTI2","invasive"
1328,"PRDO","invasive"
1329,"PRCE","invasive"
1330,"TAPA6","invasive"
1331,"CICO7","invasive"
1332,"EULA4","invasive"
1333,"MEOF2","invasive"
1334,"NITA","invasive"
1335,"OCBA","invasive"
1336,"PECR2","invasive"
1337,"ADPA","invasive"
1338,"MUCA4","invasive"
1339,"EPBR3","invasive"
1340,"LYFE4","invasive"
1341,"PEPO14","invasive"
1342,"BRCA31","invasive"
1343,"CEMA9","invasive"
1344,"GITR2","invasive"
1345,"HEDE4","invasive"
1346,"BECH","invasive"
1347,"LIRE6","invasive"
1348,"MOBR2","invasive"
1349,"MOPU","invasive"
1350,"NERA2","invasive"
1351,"PEIN5","invasive"
1352,"RUTR2","invasive"
1353,"CAPA47","invasive"
1354,"VERI2","invasive"
1355,"BRSY","invasive"
1356,"PABE4","invasive"
1357,"RORO","invasive"
1358,"SOBI2","invasive"
1359,"PHPA5","invasive"
1360,"BROL","invasive"
1361,"PIAD","invasive"
1362,"JUAC2","invasive"
1363,"CUCA4","invasive"
1364,"DEEL3","invasive"
1365,"BODA2","invasive"
1366,"INSU","invasive"
1367,"LIFL5","invasive"
1368,"MAAN7","invasive"
1369,"RELU","invasive"
1370,"SIAC3","invasive"
1371,"ZECA","invasive"
1372,"PHNI2","invasive"
1373,"STAR","invasive"
1374,"TRPE4","invasive"
1375,"SEOC2","invasive"
1376,"SYOF","invasive"
1377,"ROSY","invasive"
1378,"BRRA2","invasive"
1379,"RIUV80","invasive"
1380,"RINI","invasive"
1381,"RIMU2","invasive"
1382,"RASA","invasive"
1383,"RAMA4","invasive"
1384,"PUNU2","invasive"
1385,"PSSP4","invasive"
1386,"PRJA2","invasive"
1387,"PONO3","invasive"
1388,"POBI17","invasive"
1389,"POIN8","invasive"
1390,"POIN10","invasive"
1391,"POCO15","invasive"
1392,"POPA9","invasive"
1393,"POSU18","invasive"
1394,"PISA","invasive"
1395,"PHPH2","invasive"
1396,"VEPE2","invasive"
1397,"VECH","invasive"
1398,"VEBI2","invasive"
1399,"VEAR","invasive"
1400,"VEBR","invasive"
1401,"URUR","invasive"
1402,"TRIN3","invasive"
1403,"TRPR","invasive"
1404,"PITA4","invasive"
1405,"TEGR","invasive"
1406,"STJA9","invasive"
1407,"SYAS","invasive"
1408,"SYCI2","invasive"
1409,"STAS2","invasive"
1410,"STGR","invasive"
1411,"STPA","invasive"
1412,"STAN","invasive"
1413,"SPVE2","invasive"
1414,"COTI3","invasive"
1415,"SOBID","invasive"
1416,"SOAL","invasive"
1417,"SISE4","invasive"
1418,"SIOR4","invasive"
1419,"SIAL5","invasive"
1420,"SINO","invasive"
1421,"SISP","invasive"
1422,"SEHE8","invasive"
1423,"SETO4","invasive"
1424,"SEHI2","invasive"
1425,"SEVI2","invasive"
1426,"LEAU2","invasive"
1427,"SCAN2","invasive"
1428,"SAAM12","invasive"
1429,"SAOF4","invasive"
1430,"SAKO3","invasive"
1431,"RUSAM","invasive"
1432,"ACNO","invasive"
1433,"KEJA","invasive"
1434,"ALVE2","invasive"
1435,"ALAR","invasive"
1436,"ALPR3","invasive"
1437,"ALPA17","invasive"
1438,"AMBL2","invasive"
1439,"AMTR2","invasive"
1440,"AMME","invasive"
1441,"ANAR6","invasive"
1442,"ARMI2","invasive"
1443,"ARTO","invasive"
1444,"ARHI3","invasive"
1445,"ATTA","invasive"
1446,"BIAL","invasive"
1447,"BRER","invasive"
1448,"URPL","invasive"
1449,"BRJU","invasive"
1450,"BUAR3","invasive"
1451,"CARE8","invasive"
1452,"CAAN4","invasive"
1453,"CASE14","invasive"
1454,"CASP10","invasive"
1455,"CACA19","invasive"
1456,"CESC2","invasive"
1457,"CEPU3","invasive"
1458,"CEFOV2","invasive"
1459,"CHMI","invasive"
1460,"CHMI6","invasive"
1461,"CHALA","invasive"
1462,"CHTE2","invasive"
1463,"COGR9","invasive"
1464,"COLI2","invasive"
1465,"COFR2","invasive"
1466,"COGR5","invasive"
1467,"COSU5","invasive"
1468,"CUME","invasive"
1469,"CUEU","invasive"
1470,"CUJA","invasive"
1471,"CECY2","invasive"
1472,"DECR","invasive"
1473,"DRTH","invasive"
1474,"ECES","invasive"
1475,"ERMI5","invasive"
1476,"ERHI12","invasive"
1477,"ERST3","invasive"
1478,"ERGA","invasive"
1479,"ERRE4","invasive"
1480,"ETEL","invasive"
1481,"EUMA8","invasive"
1482,"EVNU2","invasive"
1483,"GABI3","invasive"
1484,"GALA","invasive"
1485,"GATE2","invasive"
1486,"OECU2","invasive"
1487,"OMSY","invasive"
1488,"GNEX","invasive"
1489,"GYMU","invasive"
1490,"HEAU","invasive"
1491,"HEPA19","invasive"
1492,"HEPE","invasive"
1493,"HECR3","invasive"
1494,"HULU","invasive"
1495,"INHE","invasive"
1496,"IPCA5","invasive"
1497,"IPLA","invasive"
1498,"IPHE","invasive"
1499,"JATA","invasive"
1500,"JACU2","invasive"
1501,"JUCO","invasive"
1502,"JUGE","invasive"
1503,"LATA","invasive"
1504,"LASQ","invasive"
1505,"LEAE2","invasive"
1506,"LEDE","invasive"
1507,"LIAN10","invasive"
1508,"LIUS","invasive"
1509,"LOMA","invasive"
1510,"LOPE2","invasive"
1511,"LUMU2","invasive"
1512,"MAPU5","invasive"
1513,"MASY","invasive"
1514,"MAVE","invasive"
1515,"MESAF","invasive"
1516,"NEPA3","invasive"
1517,"NULU","invasive"
1518,"OCEL","invasive"
1519,"ODVES","invasive"
1520,"OEVI","invasive"
1521,"PANU3","invasive"
1522,"PAVI5","invasive"
1523,"PAFI5","invasive"
1524,"POHY2","invasive"
1525,"POPE2","invasive"
1526,"PHPH6","invasive"
1527,"CACR2","invasive"
1528,"PUDI","invasive"
1529,"PHAN5","invasive"
1530,"VISO","invasive"
1531,"TRDU2","invasive"
1532,"TAOFO","invasive"
1533,"SYPI2","invasive"
1534,"BRDIR","invasive"
1535,"CHFI4","invasive"
1536,"POSCD","invasive"
1537,"GAFA3","invasive"
1538,"LEAP6","invasive"
1539,"MESU12","invasive"
1540,"EUCA9","invasive"
1541,"RHDA","invasive"
1542,"HEAR22","invasive"
1543,"NAJA5","invasive"
1544,"CYFU10","invasive"
1545,"LUAN4","invasive"
1546,"TIRO","invasive"
1547,"SEBI3","invasive"
1548,"SATI","invasive"
1549,"PARH2","invasive"
1550,"HYUM","invasive"
1551,"ELCA24","invasive"
1552,"BOBA3","invasive"
1553,"SAPL","invasive"
1554,"THJU3","invasive"
1555,"AGPRO","invasive"
1556,"ELMU","invasive"
1557,"EUEU7","invasive"
1558,"LOFR","invasive"
1559,"VILA","invasive"
1560,"ACCA5","invasive"
1561,"LOPE4","invasive"
1562,"PHDA4","invasive"
1563,"HOMA2","invasive"
1564,"LILA7","invasive"
1565,"CEAR3","invasive"
1566,"GASH","invasive"
1567,"LUPE6","invasive"
1568,"MEHY5","invasive"
1569,"CALI24","invasive"
1570,"CARU24","invasive"
1571,"LYJA2","invasive"
1572,"BRBR5","invasive"
1573,"CURE","invasive"
1574,"CYCI4","invasive"
1575,"LAGA2","invasive"
1576,"ATMI2","invasive"
1577,"CARU15","invasive"
1578,"CHBE4","invasive"
1579,"GEROP","invasive"
1580,"HYPA","invasive"
1581,"VAOF","invasive"
1582,"PATE11","invasive"
1583,"SCPR4","invasive"
1584,"PRAV","invasive"
1585,"GERO","invasive"
1586,"MATO3","invasive"
1587,"PHAU6","invasive"
1588,"PICA4","invasive"
1589,"PTVI","invasive"
1590,"DIES","invasive"
1591,"DEPE6","invasive"
1592,"PLBI3","invasive"
1593,"COCA39","invasive"
1594,"COAR2","invasive"
1595,"MAEM2","invasive"
1596,"ABMO","invasive"
1597,"ACHO2","invasive"
1598,"ACTE4","invasive"
1599,"AGPR5","invasive"
1600,"ALTR12","invasive"
1601,"ANSQ","invasive"
1602,"ANBU3","invasive"
1603,"STLA4","invasive"
1604,"BAMO","invasive"
1605,"BECU","invasive"
1606,"BRDI2","invasive"
1607,"BREL2","invasive"
1608,"BUMA80","invasive"
1609,"CABE8","invasive"
1610,"CACR27","invasive"
1611,"CISP3","invasive"
1612,"COCO10","invasive"
1613,"CUIG","invasive"
1614,"DASI","invasive"
1615,"DILI8","invasive"
1616,"THTE7","invasive"
1617,"ELCA19","invasive"
1618,"EUMU","invasive"
1619,"FUBO","invasive"
1620,"FUMA","invasive"
1621,"FUEL","invasive"
1622,"VEBR2","invasive"
1623,"TRTR7","invasive"
1624,"GUMA3","invasive"
1625,"THGR3","invasive"
1626,"SAHY2","invasive"
1627,"SASA10","invasive"
1628,"RUBR12","invasive"
1629,"ACCO","invasive"
1630,"ACMO8","invasive"
1631,"ALMO","invasive"
1632,"ANGL4","invasive"
1633,"ARBI2","invasive"
1634,"AZPI","invasive"
1635,"CASA2","invasive"
1636,"CEOD","invasive"
1637,"CHIC","invasive"
1638,"CRJA3","invasive"
1639,"CYST7","invasive"
1640,"ELGU","invasive"
1641,"ELMO5","invasive"
1642,"FLIN","invasive"
1643,"FLST","invasive"
1644,"HACA2","invasive"
1645,"LAIN7","invasive"
1646,"LICH3","invasive"
1647,"MOCE2","invasive"
1648,"OPHIU2","invasive"
1649,"OPCO4","invasive"
1650,"ISPO3","invasive"
1651,"ISTI3","invasive"
1652,"PHFL80","invasive"
1653,"PICA18","invasive"
1654,"JUPI","invasive"
1655,"LAPU12","invasive"
1656,"LUCA2","invasive"
1657,"MOFO","invasive"
1658,"NYFR2","invasive"
1659,"OCGR","invasive"
1660,"PACO2","invasive"
1661,"PASC6","invasive"
1662,"PHGR61","invasive"
1663,"PIDI2","invasive"
1664,"PITE11","invasive"
1665,"PIVI5","invasive"
1666,"PLCA10","invasive"
1667,"PLIN4","invasive"
1668,"POPA18","invasive"
1669,"POTR5","invasive"
1670,"PTCR2","invasive"
1671,"QUAC80","invasive"
1672,"RHAL12","invasive"
1673,"RUMO4","invasive"
1674,"SAIN","invasive"
1675,"SAHU","invasive"
1676,"TAHE","invasive"
1677,"VESE","invasive"
1678,"LOPR4","invasive"
1679,"LACA8","invasive"
1680,"LAIN2","invasive"
1681,"LATR5","invasive"
1682,"CYLE8","invasive"
1683,"CYSP8","invasive"
1684,"HAPO6","invasive"
1685,"OPEN3","invasive"
1686,"OPLE2","invasive"
1687,"SCDU2","invasive"
1688,"AREL8","invasive"
1689,"BEJU4","invasive"
1690,"ALMA16","invasive"
1691,"ARAL7","invasive"
1692,"TRPO2","invasive"
1693,"AGAL5","invasive"
1694,"NAST3","invasive"
1695,"ALCH2","invasive"
1696,"ARPI6","invasive"
1697,"CAPA65","invasive"
1698,"COAL","invasive"
1699,"FIEL","invasive"
1700,"HEBR8","invasive"
1701,"HUCR","invasive"
1702,"PHAU80","invasive"
1703,"PHMA20","invasive"
1704,"PSGU3","invasive"
1705,"HEAR16","invasive"
1706,"LOIN","invasive"
1707,"RUFU2","invasive"
1708,"OLAL2","invasive"
1709,"PSLU2","invasive"
1710,"PRCE2","invasive"
1711,"CYMU","invasive"
1712,"VEFI","invasive"
1713,"SCLA6","invasive"
1714,"SYNO2","invasive"
1715,"PEBU4","invasive"
1716,"CESE10","invasive"
1717,"ACAR10","invasive"
1718,"MYSI","invasive"
1719,"ERBR14","invasive"
1720,"LEBI2","invasive"
1721,"AMCO","invasive"
1722,"APAM","invasive"
1723,"BICO5","invasive"
1724,"BOCO","invasive"
1725,"CARA2","invasive"
1726,"CAVU2","invasive"
1727,"CEDI4","invasive"
1728,"CHFL9","invasive"
1729,"CYCO3","invasive"
1730,"CYAM2","invasive"
1731,"CYSQ","invasive"
1732,"CYST","invasive"
1733,"DIACA","invasive"
1734,"ECOR","invasive"
1735,"ELDI2","invasive"
1736,"HERE","invasive"
1737,"MINY","invasive"
1738,"MUSC","invasive"
1739,"MUKE","invasive"
1740,"NAGR","invasive"
1741,"OEVIV","invasive"
1742,"OEOA","invasive"
1743,"PONE9","invasive"
1744,"POVI2","invasive"
1745,"PHVI15","invasive"
1746,"PSJA","invasive"
1747,"ROVI","invasive"
1748,"SPNE2","invasive"
1749,"SPVA","invasive"
1750,"VICU","invasive"
1751,"WAFI","invasive"
1752,"YUGL2","invasive"
1753,"VIRI","invasive"
1754,"SYLA6","invasive"
1755,"RUPA5","invasive"
1756,"ORSA","invasive"
1757,"ACVI","invasive"
1758,"ERPE","invasive"
1759,"ATHO","invasive"
1760,"CYAT","invasive"
1761,"CYLU2","invasive"
1762,"CYOD","invasive"
1763,"CYSE5","invasive"
1764,"SOAU","invasive"
1765,"HIIN3","invasive"
1766,"HOPL2","invasive"
1767,"SEOR4","invasive"
1768,"BOGL4","invasive"
1769,"MEMA21","invasive"
1770,"SYNE2","invasive"
1771,"MIPE8","invasive"
1772,"VEOF2","invasive"
1773,"LARA2","invasive"
1774,"BABA8","invasive"
1775,"PHBI8","invasive"
1776,"PHNI80","invasive"
1777,"SAPA31","invasive"
1778,"OXEX2","invasive"
1779,"CASI10","invasive"
1780,"CAPO2","invasive"
1781,"CLSI2","invasive"
1782,"COMI13","invasive"
1783,"COSI82","invasive"
1784,"SOSO","invasive"
1785,"RELU2","invasive"
1786,"QUIL2","invasive"
1787,"QUCE","invasive"
1788,"PESE10","invasive"
1789,"PADU","invasive"
1790,"MYOD","invasive"
1791,"LEFO2","invasive"
1792,"LAAL","invasive"
1793,"CYPO10","invasive"
1794,"LASA3","invasive"
1795,"CETO2","invasive"
1796,"DITE4","invasive"
1797,"SAVE5","invasive"
1798,"CAMU11","invasive"
1799,"CHBA10","invasive"
1800,"CLTE3","invasive"
1801,"CRSP2","invasive"
1802,"URPA","invasive"
1803,"PAPA11","invasive"
1804,"ECPY2","invasive"
1805,"CLCH4","invasive"
1806,"ELAC","invasive"
1807,"HIVU2","invasive"
1808,"ALLI5","invasive"
1809,"ACPA2","invasive"
1810,"ANMA3","invasive"
1811,"LECH2","invasive"
1812,"ACFI4","invasive"
1813,"BOSA","invasive"
1814,"APSP","invasive"
1815,"EUSY","invasive"
1816,"MAIN4","invasive"
1817,"JUCA17","invasive"
1818,"SASP7","invasive"
1819,"TRGL4","invasive"
1820,"EUVI","invasive"
1821,"MAGR8","invasive"
1822,"RUCH4","invasive"
1823,"RUID","invasive"
1824,"FRAM2","invasive"
1825,"HEAM","invasive"
1826,"ULPR","invasive"
1827,"MYLA5","invasive"
1828,"LANO80","invasive"
1829,"ERLU6","invasive"
1830,"EUHA7","invasive"
1831,"CHPR14","invasive"
1832,"COCA45","invasive"
1833,"COGL16","invasive"
1834,"PICL","invasive"
1835,"RULA","invasive"
1836,"PLCI6","invasive"
1837,"CALA20","invasive"
1838,"PAJU","invasive"
1839,"PARU3","invasive"
1840,"URPI","invasive"
1841,"NAMI2","invasive"
1842,"ACAM9","invasive"
1843,"ACIT2","invasive"
1844,"ACVI7","invasive"
1845,"ACSA10","invasive"
1846,"EUCI80","invasive"
1847,"EPHE","invasive"
1848,"CAIM","invasive"
1849,"POCEL","invasive"
1850,"BAIN10","invasive"
1851,"ACVE2","invasive"
1852,"HEPE8","invasive"
1853,"PHAM2","invasive"
1854,"RUVE","invasive"
1855,"MUEX2","invasive"
1856,"COLA6","invasive"
1857,"CIAU7","invasive"
1858,"MIST","invasive"
1859,"CAANG","invasive"
1860,"TUUL","invasive"
1861,"THPO3","invasive"
1862,"SIIR","invasive"
1863,"VIOD","invasive"
1864,"PHOP","invasive"
1865,"BITR","invasive"
1866,"CEPA14","invasive"
1867,"LAVI8","invasive"
1868,"ERVA10","invasive"
1869,"EMSO","invasive"
1870,"CENI2","invasive"
1871,"SOTE3","invasive"
1872,"TRPO","invasive"
1873,"XAAM5","invasive"
1874,"FIAL4","invasive"
1875,"FIBE2","invasive"
1876,"FIBE","invasive"
1877,"FIRE3","invasive"
1878,"ROOL","invasive"
1879,"PIAR8","invasive"
1880,"LYFL3","invasive"
1881,"FRGR3","invasive"
1882,"CHMA2","invasive"
1883,"AICA","invasive"
1884,"THVU","invasive"
1885,"BRAL4","invasive"
1886,"LEPE4","invasive"
1887,"CEHI3","invasive"
1888,"EUGO","invasive"
1889,"PIWA3","invasive"
1890,"JUCO6","invasive"
1891,"CLQU2","invasive"
1892,"CEDI6","invasive"
1893,"ACGL7","invasive"
1894,"DOCA3","invasive"
1895,"ECPO3","invasive"
1896,"FLTR2","invasive"
1897,"FRFL","invasive"
1898,"HEAM4","invasive"
1899,"GMEL","invasive"
1900,"NEPR2","invasive"
1901,"BAMO2","invasive"
1902,"ALBR5","invasive"
1903,"AEJA","invasive"
1904,"PHRI3","invasive"
1905,"SEPE10","invasive"
1906,"HEGR7","invasive"
1907,"CYTU3","invasive"
1908,"INPS2","invasive"
1909,"LUSU18","invasive"
1910,"HEBO3","invasive"
1911,"LULE4","invasive"
1912,"MEPE3","invasive"
1913,"TRCU6","invasive"
1914,"YOJA","invasive"
1915,"SASP","invasive"
1916,"RUNUN","invasive"
1917,"POQU2","invasive"
1918,"PHTE5","invasive"
1919,"MECO4","invasive"
1920,"LAMO5","invasive"
1921,"IPPE2","invasive"
1922,"INGL2","invasive"
1923,"DIMU8","invasive"
1924,"COTR13","invasive"
1925,"COTR12","invasive"
1926,"COAE","invasive"
1927,"CLVI9","invasive"
1928,"SEUN3","invasive"
1929,"BOFL2","invasive"
1930,"ORAE3","invasive"
1931,"AEHA2","invasive"
1932,"MENI3","invasive"
1933,"CICA8","invasive"
1934,"FAVI","invasive"
1935,"COAJ","invasive"
1936,"DIBA","invasive"
1937,"LAAN2","invasive"
1938,"LUAN","invasive"
1939,"MAST","invasive"
1940,"RUGR3","invasive"
1941,"SEHI","invasive"
1942,"SESA","invasive"
1943,"COAL2","invasive"
1944,"DAWR2","invasive"
1945,"LEAL4","invasive"
1946,"ALSI8","invasive"
1947,"BIRA","invasive"
1948,"RUCA","invasive"
1949,"COOR4","invasive"
1950,"DAVI2","invasive"
1951,"NIRU","invasive"
1952,"MESI5","invasive"
1953,"MACR3","invasive"
1954,"ALAR8","invasive"
1955,"RULO2","invasive"
1956,"CLHA","invasive"
1957,"EUBO2","invasive"
1958,"CLIN2","invasive"
1959,"SHIN","invasive"
1960,"FLIN5","invasive"
1961,"HITI","invasive"
1962,"MIPI9","invasive"
1963,"SACH18","invasive"
1964,"CEAU2","invasive"
1965,"CLRO","invasive"
1966,"DISU11","invasive"
1967,"GAPA5","invasive"
1968,"LOGA2","invasive"
1969,"SESY","invasive"
1970,"HYVE2","invasive"
1971,"OESA","invasive"
1972,"PIBA2","invasive"
1973,"PIMU","invasive"
1974,"CAPA23","invasive"
1975,"BOER","invasive"
1976,"GOHI","invasive"
1977,"INVE","invasive"
1978,"PRCH2","invasive"
1979,"SESI3","invasive"
1980,"SICO","invasive"
1981,"PAQU6","invasive"
1982,"EQHY","invasive"
1983,"ECPU","invasive"
1984,"FAES2","invasive"
1985,"HEFO4","invasive"
1986,"MEPO5","invasive"
1987,"CULA","invasive"
1988,"EMFO","invasive"
1989,"URRE2","invasive"
1990,"VAMA4","invasive"
1991,"VEFO","invasive"
1992,"XASA2","invasive"
1993,"ZIMO2","invasive"
1994,"ZIOF","invasive"
1995,"ZIZE","invasive"
1996,"ZOMA2","invasive"
1997,"TRDA3","invasive"
1998,"TRST3","invasive"
1999,"TRCI2","invasive"
2000,"TRBE","invasive"
2001,"TRPA10","invasive"
2002,"TRSP12","invasive"
2003,"TRJA","invasive"
2004,"THAR2","invasive"
2005,"TECA5","invasive"
2006,"TAIN2","invasive"
2007,"ABHI","invasive"
2008,"ABIN3","invasive"
2009,"ACAN11","invasive"
2010,"AGAN4","invasive"
2011,"AGCL3","invasive"
2012,"ALPR","invasive"
